query,latitude,longitude
"RUA LUIZ ROHER, 975 - JARDIM RICETTI - São Carlos/SP - CEP 13570-002",-22.0266493,-47.8777433
"AVENIDA SAVERIO TALARICO, 220 - JARDIM RICETTI - São Carlos/SP - CEP 13570-090",-22.029959015562,-47.876062005701
"RUA DOMINGOS DE ANGELIS, 423 - JARDIM SAO RAFAEL - São Carlos/SP - CEP 13568-080",-22.0182449,-47.8503669
"RUA ANTONIO FISCHER DOS SANTOS, 380 - LOTE  04                  QUADRAJ - JARDIM PAULISTANO - São Carlos/SP - CEP 13564-390",-21.994712568084,-47.898320306627
"RUA BENEDITO DA SILVA, 1077 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-645",-22.0182949,-47.9002341
"RUA ROBERTO DE JESUS AFFONSO, 1380 - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13562-382",-22.0009233,-47.9136172
"RUA DOM PEDRO II, 1686 - VILA MONTEIRO - São Carlos/SP - CEP 13560-320",-22.0233316,-47.8875696
"RUA PADRE TEIXEIRA, 3558 - CENTRO - São Carlos/SP - CEP 13560-210",-22.0140905,-47.8838182
"RUA ANTONIO RODRIGUES CAJADO, 960 - SALA  01 E 02 - VILA MONTEIRO (GLEBA 1) - São Carlos/SP - CEP 13560-291",-22.019359009349,-47.883704960292
"RUA PROFESSOR JOSE FERRAZ CAMARGO, 350 - VILA CELINA - São Carlos/SP - CEP 13566-440",-22.0180395,-47.891154
"RUA RUI BARBOSA, 735 - CENTRO - São Carlos/SP - CEP 13560-330",-22.0146773,-47.8867499
"AVENIDA SAO CARLOS, 1298 - SALA  05 - CENTRO - São Carlos/SP - CEP 13560-011",-22.0180395,-47.891154
"RUA SETE DE SETEMBRO, 2181 - CENTRO - São Carlos/SP - CEP 13560-180",-22.0158957,-47.8838035
"AVENIDA BRUNO RUGGIERO FILHO, 101 - BLOCO F                   APT   118 - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13562-420",-22.0180395,-47.891154
"RUA NACOES UNIDAS, 795 - JARDIM CRUZEIRO DO SUL - São Carlos/SP - CEP 13572-082",-22.0420815,-47.8919021
"AVENIDA DOUTOR CARLOS BOTELHO, 2575 - SALA  01 - CENTRO - São Carlos/SP - CEP 13560-251",-22.0180395,-47.891154
"AVENIDA FRANCISCO FALVO, 180 - RESIDENCIAL SAMAMBAIA - São Carlos/SP - CEP 13565-545",-21.958018984626,-47.887094015203
"RUA HENRIQUE ALVES FILHO, 130 - JARDIM DAS TORRES - São Carlos/SP - CEP 13575-510",-22.0307381,-47.9123903
"AVENIDA FRANCISCO PEREIRA LOPES, 1701 - TERREOSALAS 17 E 18 - PARQUE SANTA MONICA - São Carlos/SP - CEP 13561-250",-22.0180395,-47.891154
"RUA VINTE E OITO DE SETEMBRO, 1993 - SALA  03 - CENTRO - São Carlos/SP - CEP 13560-270",-22.010536008519,-47.891109030643
"RUA SAO JOAQUIM, 885 - LOJA  01 - VILA MONTEIRO (GLEBA I) - São Carlos/SP - CEP 13560-300",-22.0180395,-47.891154
"RUA TREZE DE MAIO, 2415 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-647",-22.0188832,-47.8972307
"RUA JOSE RIGA, 330 - RESIDENCIAL SAMAMBAIA - São Carlos/SP - CEP 13565-560",-21.9575284,-47.8852463
"RUA QUINZE DE NOVEMBRO, 2190 - SALA  04 - CENTRO - São Carlos/SP - CEP 13560-240",-22.0180395,-47.891154
"RUA DOM PEDRO II, 1.845 - VILA MONTEIRO - São Carlos/SP - CEP 13560-320",-22.0237554,-47.8875484
