query,provider,latitude,longitude,display
"AVENIDA PROFESSORA MARIA DE CRESCI LEOPOLDINO, 755 - CASA  144 - CONDOMINIO RESIDENCIAL QUEBEC - São Carlos/SP - CEP 13563-623",arcgis,-21.982446142526,-47.930183105296,"Avenida Professora Maria de Cresci Leopoldino 144, São Carlos, São Paulo, 13563"
"RUA MARECHAL DEODORO, 2616 - SALA  01 - CENTRO - São Carlos/SP - CEP 13560-201",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA MIGUEL PETRONI, 1145 - VILA PUREZA - São Carlos/SP - CEP 13561-002",arcgis,-22.002931987868,-47.902401968791,"Rua Miguel Petroni 1145, São Carlos, São Paulo, 13561-002"
"AVENIDA SAO CARLOS, 967 - SALA 01 - CENTRO - São Carlos/SP - CEP 13560-010",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA MARIA EUGENIA FABIANO, 432 - ANTENOR GARCIA - São Carlos/SP - CEP 13560-970",nominatim,-22.0527956,-47.9168426,"Rua Maria Eugênia Fabiano, Jardim Social Antenor Garcia, Bela Vista São-Carlense, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13573-276, Brasil"
"AVENIDA SAO CARLOS, 2205 - SALA  707                 EDIF  RACZ CENTER - CENTRO - São Carlos/SP - CEP 13560-900",arcgis,-22.013845980174,-47.890781968781,"Avenida Sao Carlos 2205, São Carlos, São Paulo, 13560-011"
"AVENIDA PAPA PAULO VI, 1156 - VILA MONTE CARLO - São Carlos/SP - CEP 13572-140",arcgis,-22.048626016848,-47.895127985578,"Avenida Papa Paulo Vi 1156, Bela Vista São-Carlense, São Carlos, São Paulo, 13572-140"
"AVENIDA SALLUM, 979 - VILA PRADO - São Carlos/SP - CEP 13574-040",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA JOSE BONIFACIO, 565 - EDIF  ONOVOLAB - NUCLEO RESIDENCIAL SILVIO VILARI - São Carlos/SP - CEP 13560-610",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA MIGUEL PETRONI, 1659 - JARDIM BANDEIRANTES - São Carlos/SP - CEP 13562-190",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA ROSARIA CERRI CARUSO, 91 - N.RES.CASTELO BRANCO - São Carlos/SP - CEP 13571-110",arcgis,-22.029788988656,-47.869840035154,"Rua Rosaria Cerri Caruso 91, São Carlos, São Paulo, 13571-110"
